graph_id,graph6,n,m,graceful,labeling
97,EErO,6,7,YES,"0:0,1:3,2:1,3:7,4:5,5:6"
98,EErW,6,8,YES,"0:8,1:5,2:7,3:1,4:2,5:0"
99,EEr_,6,7,YES,"0:0,1:1,2:4,3:5,4:2,5:7"
100,EEro,6,8,YES,"0:8,1:5,2:4,3:7,4:2,5:0"
101,EErw,6,9,YES,"0:9,1:2,2:7,3:8,4:5,5:0"
102,EEuw,6,9,YES,"0:2,1:4,2:5,3:0,4:9,5:8"
103,EEvW,6,9,YES,"0:2,1:5,2:1,3:0,4:9,5:8"
104,EEvo,6,9,YES,"0:1,1:2,2:3,3:0,4:5,5:9"
105,EEvw,6,10,YES,"0:2,1:6,2:5,3:10,4:9,5:0"
106,EEzO,6,8,YES,"0:0,1:2,2:1,3:8,4:4,5:7"
107,EEz_,6,8,YES,"0:0,1:1,2:7,3:6,4:8,5:3"
108,EEzg,6,9,YES,"0:8,1:7,2:6,3:3,4:0,5:9"
109,EEzo,6,9,YES,"0:9,1:6,2:5,3:8,4:2,5:0"
110,EEzw,6,10,YES,"0:1,1:2,2:7,3:6,4:10,5:0"
111,EE~w,6,11,YES,"0:2,1:7,2:6,3:10,4:0,5:11"
112,EFzW,6,10,YES,"0:9,1:4,2:5,3:0,4:2,5:10"
113,EFz_,6,9,YES,"0:0,1:1,2:2,3:9,4:6,5:3"
114,EFzo,6,10,YES,"0:9,1:8,2:7,3:0,4:3,5:10"
115,EFzw,6,11,YES,"0:1,1:7,2:6,3:11,4:9,5:0"
116,EF~w,6,12,YES,"0:2,1:8,2:5,3:0,4:12,5:11"
117,EQhO,6,6,NO,-
118,EQig,6,7,YES,"0:0,1:1,2:7,3:4,4:6,5:2"
119,EQjO,6,7,YES,"0:0,1:2,2:7,3:3,4:5,5:6"
120,EQj_,6,7,YES,"0:0,1:1,2:7,3:3,4:4,5:6"
121,EQjg,6,8,YES,"0:8,1:4,2:7,3:1,4:2,5:0"
122,EQjo,6,8,YES,"0:8,1:3,2:6,3:4,4:1,5:0"
123,EQjw,6,9,YES,"0:9,1:8,2:6,3:1,4:4,5:0"
124,EQyw,6,9,YES,"0:8,1:7,2:3,3:5,4:0,5:9"
125,EQzO,6,8,YES,"0:0,1:4,2:7,3:1,4:8,5:6"
126,EQzW,6,9,YES,"0:8,1:7,2:5,3:3,4:0,5:9"
127,EQzg,6,9,YES,"0:8,1:4,2:2,3:1,4:0,5:9"
128,EQzo,6,9,YES,"0:9,1:4,2:7,3:5,4:1,5:0"
129,EQzw,6,10,YES,"0:9,1:2,2:6,3:7,4:10,5:0"
130,EQ~o,6,10,NO,-
131,EQ~w,6,11,YES,"0:10,1:9,2:3,3:5,4:0,5:11"
132,ETmw,6,10,NO,-
133,ETno,6,10,YES,"0:0,1:7,2:10,3:9,4:6,5:2"
134,ETnw,6,11,YES,"0:11,1:6,2:10,3:2,4:7,5:0"
135,ETzg,6,10,NO,-
136,ETzo,6,10,YES,"0:0,1:1,2:10,3:7,4:6,5:9"
137,ETzw,6,11,YES,"0:11,1:5,2:10,3:4,4:2,5:0"
138,ET~w,6,12,YES,"0:11,1:7,2:2,3:8,4:0,5:12"
139,EUZO,6,8,YES,"0:0,1:5,2:6,3:8,4:1,5:7"
140,EUZ_,6,8,YES,"0:0,1:1,2:8,3:4,4:6,5:7"
141,EUZo,6,9,YES,"0:9,1:6,2:8,3:2,4:3,5:0"
142,EUZw,6,10,YES,"0:10,1:7,2:9,3:2,4:3,5:0"
143,EUxo,6,9,YES,"0:0,1:2,2:9,3:7,4:8,5:5"
144,EUzW,6,10,YES,"0:0,1:4,2:7,3:9,4:10,5:8"
145,EUzo,6,10,YES,"0:0,1:2,2:10,3:5,4:8,5:9"
146,EUzw,6,11,YES,"0:11,1:4,2:3,3:9,4:10,5:0"
147,EU~w,6,12,YES,"0:11,1:8,2:2,3:5,4:0,5:12"
148,EV~w,6,13,YES,"0:4,1:2,2:7,3:0,4:13,5:12"
149,E]yw,6,11,YES,"0:0,1:3,2:11,3:9,4:1,5:4"
150,E]zg,6,11,YES,"0:0,1:4,2:11,3:9,4:10,5:8"
151,E]zo,6,11,YES,"0:0,1:4,2:11,3:10,4:8,5:9"
152,E]zw,6,12,YES,"0:12,1:10,2:1,3:8,4:7,5:0"
153,E]~o,6,12,YES,"0:0,1:3,2:12,3:6,4:11,5:10"
154,E]~w,6,13,YES,"0:12,1:7,2:2,3:4,4:0,5:13"
155,E^~w,6,14,NO,-
156,E~~w,6,15,NO,-
