graph_id,graph6,n,m,graceful,labeling
1,B?,3,0,NO,-
2,BO,3,1,NO,-
3,BW,3,2,YES,"0:2,1:1,2:0"
4,Bw,3,3,YES,"0:0,1:3,2:2"
