graph_id,graph6,n,m,GAL,labeling
1,C?,4,0,NO,-
2,CC,4,1,NO,-
3,CE,4,2,NO,-
4,CF,4,3,YES,"0:3,1:2,2:1,3:0"
5,CQ,4,2,NO,-
6,CT,4,3,YES,"0:0,1:2,2:3,3:1"
7,CU,4,3,NO,-
8,CV,4,4,YES,"0:3,1:4,2:1,3:0"
9,C],4,4,YES,"0:0,1:1,2:4,3:2"
10,C^,4,5,YES,"0:5,1:4,2:0,3:3"
11,C~,4,6,NO,-
